  百视通(ijk),#genre#
广东珠江,http://r.jdshipin.com/sE5vO
http://157.122.177.10:9901/tsfile/live/1007_1.m3u8
CCTV1,http://live.hust.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://live.hust.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://live.hust.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://live.hust.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://live.hust.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://live.hust.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://live.hust.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://live.hust.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://live.hust.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://live.hust.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://live.hust.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://live.hust.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://live.hust.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://live.hust.edu.cn/hls/cctv14hd.m3u8
CCTV17,http://live.hust.edu.cn/hls/cctv17hd.m3u8
CHC高清电影,http://live.hust.edu.cn/hls/chchd.m3u8
北京卫视,http://live.hust.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://live.hust.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://live.hust.edu.cn/hls/zjhd.m3u8
江苏卫视,http://live.hust.edu.cn/hls/jshd.m3u8
东方卫视,http://live.hust.edu.cn/hls/dfhd.m3u8
安徽卫视,http://live.hust.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://live.hust.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://live.hust.edu.cn/hls/lnhd.m3u8
深圳卫视,http://live.hust.edu.cn/hls/szhd.m3u8
广东卫视,http://live.hust.edu.cn/hls/gdhd.m3u8
天津卫视,http://live.hust.edu.cn/hls/tjhd.m3u8
湖北卫视,http://live.hust.edu.cn/hls/hbhd.m3u8
山东卫视,http://live.hust.edu.cn/hls/sdhd.m3u8
重庆卫视,http://live.hust.edu.cn/hls/cqhd.m3u8
东南卫视,http://live.hust.edu.cn/hls/dnhd.m3u8
四川卫视,http://live.hust.edu.cn/hls/schd.m3u8
江西卫视,http://live.hust.edu.cn/hls/jxhd.m3u8
河南卫视,http://live.hust.edu.cn/hls/hnhd.m3u8
海南卫视,http://live.hust.edu.cn/hls/lyhd.m3u8
贵州卫视,http://live.hust.edu.cn/hls/gzhd.m3u8
北京文艺,http://live.hust.edu.cn/hls/btv2hd.m3u8
北京科教,http://live.hust.edu.cn/hls/btv3hd.m3u8
北京影视,http://live.hust.edu.cn/hls/btv4hd.m3u8
北京财经,http://live.hust.edu.cn/hls/btv5hd.m3u8
北京生活,http://live.hust.edu.cn/hls/btv7hd.m3u8
北京少儿,http://live.hust.edu.cn/hls/btv10hd.m3u8
北京体育,http://live.hust.edu.cn/hls/btv11hd.m3u8
北京新闻,http://live.hust.edu.cn/hls/btv9hd.m3u8
凤凰电影,http://live.hust.edu.cn/hls/fhdy.m3u8
河北卫视，http://live.hust.edu.cn/hls/hebhd.m3u8
广西卫视,http://live.hust.edu.cn/hls/gxhd.m3u8
吉林卫视,http://live.hust.edu.cn/hls/jlhd.m3u8

🍑港台频道,#genre#
凤凰中文,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEGEGM4G/timeshift.m3u8?txKbps=702&delay=1
凤凰中文,https://epg.pw/stream/9d3ae35ac5340698211b15afabadf8d01cadfd8f2e804854fe854eb39412924a.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰中文,http://117.169.124.149:8080/live/fhchinese/index.m3u8
凤凰资讯,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=1
凤凰资讯,https://epg.pw/stream/feef91f40b85dafbfec7b968db0c1fc20f8fafdbbef2dfd751cfbcfd51f6ea5d.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰香港,http://39.135.138.58:18890/PLTV/88888888/224/3221226251/index.m3u8
凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8
凤凰香港,http://zb.688768.xyz/jiudian/jddb.php?member=liubwdefd34&playurl=http://120.84.96.42:808/hls/81/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8 
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd
凤凰电影,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0 
香港卫视,http://hw-play.lezhibo.com/live/bd2d26fd492b403d8ec69de1859bdb31.m3u8
香港卫视,http://124.238.99.44:808/hls/352/index.m3u8
翡翠台,http://162.19.247.76:22222/live/tvbfc/index.m3u8
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941619&extension=ts&play_token=p2yEuU1aFS
翡翠台,http://c-leung.homeip.net:8011/bysid/1
翡翠台,http://r.jdshipin.com/qClQf
翡翠台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=0
